名称,区域,板块,房型,朝向,面积(平米),价格(元/月),单位面积价格(元/平米/月)
世嘉光织谷西区,怀柔,怀柔,2室2厅,南/北,46.5,2600,55
东亚印象台湖,通州,通州其它,2室1厅,南/北,71.0,3600,50
东领鉴筑,朝阳,定福庄,2室1厅,南/北,52.5,7300,139
远洋自然,丰台,大红门,1室0厅,东,55.0,5300,96
万福家园,通州,北关,1室1厅,南,55.0,3000,54
东南小区,海淀,中关村,2室1厅,南,64.5,8200,127
鑫兆雅园北区,丰台,刘家窑,2室1厅,南/北,76.5,7900,103
星源国际,朝阳,望京,1室0厅,东,53.0,6000,113
世嘉光织谷西区,怀柔,怀柔,2室2厅,南/北,46.5,2600,55
东亚印象台湖,通州,通州其它,2室1厅,南/北,71.0,3600,50
东领鉴筑,朝阳,定福庄,2室1厅,南/北,52.5,7300,139
远洋自然,丰台,大红门,1室0厅,东,55.0,5300,96
万福家园,通州,北关,1室1厅,南,55.0,3000,54
东南小区,海淀,中关村,2室1厅,南,64.5,8200,127
鑫兆雅园北区,丰台,刘家窑,2室1厅,南/北,76.5,7900,103
星源国际,朝阳,望京,1室0厅,东,53.0,6000,113
世嘉光织谷西区,怀柔,怀柔,2室2厅,南/北,46.5,2600,55
东亚印象台湖,通州,通州其它,2室1厅,南/北,71.0,3600,50
真武庙,西城,木樨地,2室1厅,南/北,69.0,8300,120
裕中东里,西城,马甸,2室1厅,南/北,43.0,6270,145
前门西大街,西城,宣武门,2室1厅,南,52.0,9000,173
德胜置业,西城,六铺炕,3室2厅,北,62.0,15000,241
玺源台,西城,广安门,1室1厅,西,73.0,7500,102
爱民里小区,西城,西四,2室1厅,南/北,29.0,10500,362
熔炼厂宿舍,西城,广安门,1室1厅,南,24.0,4600,191
木樨地南里1号院,西城,木樨地,2室1厅,东,35.5,9500,267
南露园,西城,阜成门,1室1厅,北,35.5,5670,159
双槐里,西城,牛街,3室1厅,南/北,62.5,9500,152
信恒大厦,西城,牛街,2室1厅,南/北,50.0,12000,240
红莲晴园,西城,马连道,3室2厅,西北,58.0,11000,189
丰侨公寓,西城,金融街,2室1厅,西南,41.0,17500,426
中信沁园,西城,陶然亭,2室1厅,东/西,56.0,15000,267
复兴门南大街,西城,木樨地,2室1厅,南,48.5,7000,144
乐城,西城,菜户营,1室1厅,北,25.5,5500,215
王府仓胡同10号院,西城,金融街,2室1厅,南,60.5,21000,347
信恒大厦,西城,牛街,2室1厅,南/北,53.5,12000,224
远见名苑,西城,广安门,1室0厅,北,72.0,5500,76
荣丰2008,西城,广安门,3室2厅,东南,78.0,17000,217
京铁和园,西城,广安门,1室0厅,西,43.5,4600,105
阜成门外大街,西城,月坛,3室1厅,东/西,38.5,10500,272
牛街东里,西城,牛街,2室1厅,西北,40.5,9800,241
木樨地南里1号院,西城,木樨地,2室1厅,东南,80.0,12000,150
平原里小区,西城,牛街,1室1厅,东/西,49.5,5500,111
德胜置业,西城,六铺炕,3室1厅,北,68.0,17000,250
未来家园,西城,右安门内,2室1厅,东,64.0,10000,156
德胜里二区,西城,德胜门,1室1厅,南,33.5,12500,373
木樨地南里1号院,西城,木樨地,2室1厅,西北,40.0,8000,200
南运巷,西城,白纸坊,2室1厅,东/西,34.5,5700,165
中海丽春湖墅,昌平,沙河,3室1厅,南/北,45.0,7200,160
京投发展公园悦府一区,昌平,回龙观,1室1厅,西北,24.5,5700,232
回家理想乡,,,1室1厅,,19.5,5400,276
和平街东里,昌平,鼓楼大街,2室1厅,东,36.5,3300,90
北街家园六区,昌平,沙河,3室1厅,东/西,39.0,4800,123
龙锦苑东五区,昌平,霍营,3室1厅,南/北,97.0,7500,77
金域华府三期,昌平,回龙观,2室1厅,南,86.5,7800,90
华润理想国,昌平,北七家,3室1厅,南,44.5,5000,112
天通苑六区,昌平,天通苑,2室1厅,南/北,94.5,5000,52
回家理想乡,,,1室1厅,,12.5,4400,352
回家理想乡,,,1室1厅,,27.5,5450,198
水关新村,昌平,东关,2室1厅,南,76.0,2850,37
保利罗兰香谷,昌平,昌平其它,3室1厅,南/北,49.5,5800,117
天通苑东三区,昌平,天通苑,2室1厅,南/北,39.5,5200,131
北京怡园,昌平,东关,2室1厅,南,58.5,4000,68
领秀慧谷A区,昌平,回龙观,2室1厅,南/北,62.5,6300,100
奥海明月,昌平,西三旗,2室1厅,东/西,33.5,5800,173
回家理想乡,,,2室1厅,,9.0,2650,294
回家理想乡,,,3室1厅,,12.5,2150,172
北街家园五区,昌平,沙河,3室1厅,南/北,44.5,5300,119
回家理想乡,,,4室1厅,,9.0,2700,300
回家理想乡,,,2室0厅,,11.5,2200,191
华府9号,昌平,回龙观,2房间,东,26.0,5500,211
回家理想乡,,,1室1厅,,12.0,4150,345
清秀园南区,昌平,东关,2室1厅,南,72.0,4000,55
紫金新干线,昌平,霍营,2室1厅,南/北,44.5,6200,139
天露园二区,昌平,回龙观,3室1厅,南/北,64.0,7300,114
北京人家,昌平,回龙观,2室1厅,南,74.0,6300,85
北方明珠,昌平,立水桥,1室0厅,东,33.0,5300,160
龙冠冠华苑,昌平,北七家,2室1厅,南,49.0,4300,87
定安里,东城,永定门,2室1厅,南/北,60.0,5800,96
西营房,东城,安定门,2室1厅,西,42.5,11000,258
金世纪嘉园,东城,广渠门,1室1厅,东南,30.0,7800,260
板厂南里,东城,广渠门,2室1厅,南/北,65.5,6000,91
金鱼池东区,东城,天坛,1室0厅,西,20.0,4500,225
长青园,东城,左安门,1室1厅,西,71.5,4950,69
东四块玉南街甲9号楼,东城,左安门,1室1厅,东,24.0,4500,187
安定路,东城,安贞,3室1厅,,56.0,10500,187
花市枣苑二期,东城,东花市,2室1厅,西,55.5,12800,230
华世隆国际公寓,东城,安贞,2室2厅,南/北,115.0,16600,144
金桥国际,东城,广渠门,1室1厅,北,31.5,7200,228
安外大街3号院,东城,安定门,2室1厅,东/西,30.0,7200,240
铂晶豪庭,东城,工体,3房间,东,64.5,15000,232
花园前巷,东城,安定门,1室0厅,南,7.0,3200,457
兴隆都市馨园,东城,崇文门,1室1厅,南,36.5,6500,178
广渠家园,东城,广渠门,2室2厅,西,57.0,6300,110
新奥洋房,东城,永定门,1室1厅,西,70.0,5500,78
金世纪嘉园,东城,广渠门,2室1厅,西北,29.0,6600,227
南水关,东城,广渠门,2室1厅,东/西,29.5,6500,220
和平里五区,东城,和平里,2室1厅,南/北,33.5,9200,274
新奥洋房,东城,永定门,2室1厅,南/北,64.0,11000,171
富莱茵花园,东城,永定门,2室1厅,南,56.5,8000,141
贡院西街,东城,建国门内,2室1厅,东,28.5,7600,266
聚龙花园,东城,工体,3室2厅,,151.0,30000,198
西青年沟,东城,安贞,2室1厅,南,28.0,6700,239
东直门北大街,东城,东直门,2室1厅,东/西,63.0,7800,123
东方银座,东城,东直门,1室1厅,东,38.5,10000,259
和平里三区,东城,和平里,2室1厅,南/北,28.0,7000,250
冠城名敦道A区,东城,广渠门,1室0厅,西,32.0,6300,196
梵悦万国府,东城,东直门,4室2厅,东/北,171.5,90000,524
绿地中央广场,大兴,高米店,1室0厅,东,46.0,8300,180
蓝桥驿苑,大兴,南中轴机场商务区,1室1厅,南,25.5,2500,98
鹿海园三里,大兴,亦庄开发区其它,3室1厅,南/北,50.0,5000,100
育新花园西里,大兴,大兴新机场洋房别墅区,2室1厅,南,43.5,2000,45
兴涛社区,大兴,高米店,4室2厅,南/北,128.5,13300,103
兴海家园星苑,大兴,西红门,2室1厅,南/北,88.0,5000,56
金色漫香郡北区,大兴,南中轴机场商务区,3室1厅,南/北,63.0,4000,63
滨河西里中区,大兴,枣园,2室1厅,南/北,42.5,3400,80
新源时代,大兴,天宫院,2室1厅,南/北,45.0,4300,95
马家堡西里,丰台,马家堡,1室1厅,西南,16.5,4660,282
鑫兆雅园南区,丰台,刘家窑,2室1厅,西,75.5,7000,92
北京金茂府,丰台,宋家庄,3室2厅,南/北,104.0,36000,346
芳星园三区,丰台,方庄,1室1厅,南,59.0,5000,84
尚三环,丰台,宋家庄,3房间,西,40.0,6500,162
旭日嘉园,丰台,马家堡,1室1厅,南,58.0,6730,116
格林云墅,大兴,南中轴机场商务区,3室1厅,南/北,44.5,2600,58
众美MIMO公馆,大兴,大兴新机场,2房间,南,22.5,2200,97
东亚康和名居,大兴,枣园,2室1厅,南,37.5,4000,106
云立方,大兴,天宫院,2室2厅,南/北,45.0,4800,106
金色漫香郡北区,大兴,南中轴机场商务区,2室1厅,南/北,45.0,3000,66
富力丹麦小镇D区,大兴,大兴新机场,4室2厅,南/北,80.5,6000,74
观音寺南里,大兴,观音寺,2室1厅,南/北,48.0,3300,68
中信新城西区,大兴,亦庄开发区其它,5室2厅,南/北,115.0,21000,182
万科天地,大兴,义和庄,4室2厅,,124.0,10000,80
长兴公寓,大兴,黄村火车站,2室1厅,西南,84.5,3500,41
兴政西里,大兴,黄村中,2室1厅,南/北,28.0,3400,121
长丰园一区,大兴,科技园区,2室1厅,南/北,49.0,4200,85
兴华园,大兴,枣园,2室1厅,南,79.5,4400,55
那尔水晶城,大兴,枣园,3室2厅,南/北,94.5,6500,68
兴政西里,大兴,黄村中,3室1厅,南/北,47.0,4200,89
榆垡新城嘉园D区,大兴,大兴机场空港,2室1厅,南/北,40.0,1500,37
林校北里,大兴,黄村火车站,2室1厅,南/北,57.0,3800,66
云立方,大兴,天宫院,2室1厅,南/北,40.5,3900,96
隆兴园二里,大兴,大兴新机场,2室1厅,南/北,41.5,3100,74
中冶德贤公馆公寓,大兴,旧宫,2房间,北,32.0,5500,171
育新花园西里,大兴,大兴新机场洋房别墅区,2室1厅,南/北,43.5,2100,48
韩庄子西里,丰台,看丹桥,2室1厅,南/北,74.0,3800,51
方南家园一期,丰台,刘家窑,1室1厅,东,56.0,5460,97
嘉园二里,丰台,马家堡,2室1厅,南,45.0,6430,142
翠海明苑,丰台,新宫,2室1厅,南/北,39.0,6200,158
保利欣苑,丰台,七里庄,1室0厅,北,36.5,4400,120
芳古园二区,丰台,方庄,2室1厅,南,35.0,6300,180
石榴园南里小区,丰台,刘家窑,1室1厅,南,59.0,5430,92
首开华润城,丰台,科技园区,3室1厅,南/北,68.0,16000,235
海户西里,丰台,洋桥,2室1厅,南,73.5,5460,74
幸福家园5号院,丰台,科技园区,2室1厅,北,63.0,6630,105
亿朋苑三区,丰台,玉泉营,2室1厅,南,69.0,7660,111
玉璞家园,丰台,丽泽,2室1厅,南,31.5,6200,196
万柳园小区,丰台,玉泉营,1室1厅,南/北,62.0,3900,62
领秀翡翠山B区,丰台,丰台其它,4室2厅,南/北,139.0,15000,107
望园东里,丰台,七里庄,2室1厅,西南,41.5,7000,168
芳群园四区,丰台,方庄,2室1厅,东南,69.5,5500,79
泰禾西府玉苑,丰台,丽泽,1室1厅,南,52.5,6360,121
石榴园南里小区,丰台,刘家窑,2室1厅,东/西,31.5,4800,152
莲怡园北路1号院,丰台,六里桥,1室1厅,南,43.0,6090,141
益明园,丰台,马家堡,2室1厅,,55.5,9000,162
西罗园北路,丰台,西罗园,2室1厅,南,60.5,5690,94
丰开苑,丰台,马家堡,1室1厅,东南,50.5,4500,89
芳群园四区,丰台,方庄,2室1厅,东南,30.5,6260,205
京投银泰万科西华府,丰台,科技园区,2室1厅,南/北,63.0,7200,114
东领鉴筑,朝阳,定福庄,2室1厅,南/北,52.5,7300,139
远洋自然,丰台,大红门,1室0厅,东,55.0,5300,96
万福家园,通州,北关,1室1厅,南,55.0,3000,54
东南小区,海淀,中关村,2室1厅,南,64.5,8200,127
鑫兆雅园北区,丰台,刘家窑,2室1厅,南/北,76.5,7900,103
星源国际,朝阳,望京,1室0厅,东,53.0,6000,113
世嘉光织谷西区,怀柔,怀柔,2室2厅,南/北,46.5,2600,55
东亚印象台湖,通州,通州其它,2室1厅,南/北,71.0,3600,50
首开万科城市之光盛佳尚苑,通州,通州其它,3房间,南,40.0,4500,112
潞河名苑,通州,万达,3室2厅,南/北,98.5,6000,60
华业东方玫瑰C区,通州,临河里,2室1厅,东,34.0,4200,123
通州万国城MOMA,通州,乔庄,3室1厅,南/北,90.5,8700,96
运河湾南区,通州,武夷花园,3室2厅,南/北,64.0,7200,112
长城国际,通州,通州北苑,1室0厅,东,32.0,4000,125
珠江国际城八区,通州,潞苑,3室2厅,南/北,69.0,6500,94
加华印象街,通州,武夷花园,2室1厅,南/北,63.0,4000,63
首开万科城市之光,通州,通州其它,3室1厅,南/北,67.0,6400,95
华业东方玫瑰C区,通州,临河里,2室1厅,西南,83.0,6249,75
融科千章墅,通州,通州其它,3室2厅,南/北,134.0,24500,182
万达广场,通州,万达,10房间,,1018.0,300000,294
三元村甲,通州,武夷花园,3室1厅,南/北,59.0,4900,83
城市之光·东望,通州,通州其它,3室1厅,南/北,76.0,5800,76
中建雅颂居,通州,潞苑,1室0厅,西,78.5,2900,36
通惠南路,通州,万达,2室1厅,南,30.0,3800,126
日光清城,通州,果园,2室2厅,南/北,53.5,5000,93
运河明珠,通州,武夷花园,1室0厅,北,54.0,6200,114
京贸国际城,通州,武夷花园,1室1厅,南,32.0,4290,134
西上园一区,通州,武夷花园,2室2厅,南/北,56.0,5100,91
梨花园,通州,梨园,2室1厅,南/北,37.5,3900,104
运河湾南区,通州,武夷花园,3室2厅,南/北,88.5,8000,90
上营新村,通州,武夷花园,2室1厅,南/北,77.0,4400,57
中建雅颂居,通州,潞苑,2室1厅,东南,46.5,3300,70
鲁能格拉斯小镇,通州,通州其它,4室1厅,南/北,178.0,55000,308
宏仁家园,通州,马驹桥,2室1厅,南,45.0,4200,93
首开国风美仑,通州,通州其它,2室1厅,南/北,69.0,3700,53
运河铭著,通州,北关,2室1厅,南,50.0,5200,104
巴克寓所,通州,果园,4室2厅,南/北,115.0,6700,58
桃花岛,通州,梨园,2室1厅,南/北,55.0,4300,78
奥森ONE,昌平,西三旗,3室2厅,,44.5,7300,164
未来城市,昌平,小汤山,3室2厅,南/北,59.0,8000,135
奥海明月,昌平,西三旗,3室1厅,南/北,44.0,7600,172
天通苑六区,昌平,天通苑,2室1厅,南/北,65.0,5300,81
流星花园二区,昌平,回龙观,1室0厅,北,38.5,4200,109
天通苑东二区,昌平,天通苑,2室1厅,东/西,53.0,5500,103
保利芳园,昌平,昌平其它,1室1厅,南,21.0,3700,176
兴昌佳苑,昌平,南邵,2室2厅,南/北,59.5,5100,85
奥海明月,昌平,西三旗,1室1厅,西,24.5,5000,204
新龙城,昌平,回龙观,2室1厅,南/北,50.0,7200,144
名流花园,昌平,北七家,3室2厅,南/北,63.5,5200,81
融泽嘉园西二路6号院,昌平,回龙观,3室1厅,南/北,52.0,8800,169
名佳花园三区,昌平,北七家,1室1厅,南/北,36.5,3700,101
天通中苑二区,昌平,天通苑,3房间,西南,48.5,8500,175
北街家园八区,昌平,沙河,1室0厅,东,46.5,2700,58
龙博苑三区,昌平,回龙观,2室1厅,南/北,56.0,5600,100
天通苑五区,昌平,天通苑,2室1厅,南/北,40.0,5500,137
佳运园二期,昌平,立水桥,2室1厅,南/北,69.0,6200,89
东亚上北中心,昌平,回龙观,1房间,北,44.0,4000,90
鲁疃嘉园,昌平,北七家,2室1厅,南,49.0,4500,91
天通公园里,昌平,天通苑,1室1厅,西北,41.0,5000,121
中东路121号院二区,昌平,西三旗,2室1厅,南,46.5,5300,113
嘉诚中心,昌平,鼓楼大街,2房间,南,31.5,4000,126
首开国风美唐三期,昌平,回龙观,2室1厅,南,44.5,7600,170
领秀慧谷B区,昌平,回龙观,3室1厅,南/北,44.5,5800,130
奥海明月,昌平,西三旗,1室1厅,西,46.0,5000,108
金科廊桥水岸,昌平,南邵,5室2厅,南/北,74.5,15000,201
天通苑北一区,昌平,天通苑,2室1厅,南/北,69.5,7300,105
云趣园一区,昌平,回龙观,2室1厅,南/北,80.0,5400,67
天通苑中苑,昌平,天通苑,4室2厅,东,90.0,9000,100
国瑞城东区,东城,崇文门,1室1厅,南,38.0,6800,178
定安里,东城,永定门,1室1厅,南/北,18.5,4200,227
地坛北里,东城,和平里,4室1厅,东/西,100.5,13900,138
富莱茵花园,东城,永定门,2室1厅,南,39.5,6000,151
华世隆国际公寓,东城,安贞,2室2厅,南/北,91.5,15000,163
竹杆胡同,东城,朝阳门内,2室1厅,东/西,48.5,10000,206
前门前,东城,天坛,3房间,南,65.5,8000,122
广渠家园,东城,广渠门,2室1厅,东北,68.0,6600,97
西草市东街甲34号院,东城,天坛,2室1厅,南/北,27.5,6500,236
东花市北里中区,东城,东花市,1室1厅,东,22.5,5500,244
忠实里,东城,广渠门,2室1厅,西北,50.5,7000,138
北沟沿,东城,东四,1室1厅,西南,15.0,5300,353
东直门南大街,东城,东直门,3室1厅,西南,80.5,10200,126
依陶阁,东城,永定门,1室1厅,北,33.5,4500,134
定安里,东城,永定门,2室1厅,,27.5,4600,167
新奥洋房,东城,永定门,1室1厅,北,23.5,4800,204
华龙IN巷,东城,永定门,1室0厅,东,22.5,5500,244
金桥国际,东城,广渠门,1室1厅,西,27.5,6200,225
本家润园C区,东城,东花市,1室1厅,北,69.5,5700,82
富莱茵花园,东城,永定门,2室1厅,西南,36.0,6500,180
胡家园小区,东城,东直门,1室1厅,东南,41.5,5800,139
金鱼池东区,东城,天坛,2室1厅,南/北,75.0,6300,84
安外西河沿,东城,安定门,2室1厅,南/北,47.0,7500,159
大雅宝胡同,东城,朝阳门内,1室1厅,北,15.0,5000,333
幸福家园三期,东城,广渠门,1室1厅,西,31.5,8200,260
万国城MOMA,东城,东直门,1室0厅,南,22.5,8000,355
中建国际港,大兴,枣园,2室1厅,南,44.0,5200,118
住总兴创如遇,大兴,大兴新机场洋房别墅区,2室1厅,南/北,39.5,2600,65
三虎桥南路17号院,海淀,紫竹桥,1室1厅,南,20.0,6590,329
田村41号院,海淀,田村,1室1厅,南,40.5,5730,141
逸成东苑,海淀,学院路,1室1厅,西南,61.0,7560,123
复兴路46号院,海淀,玉泉路,2室1厅,东,29.0,6200,213
辉煌国际,海淀,上地,2房间,南,64.5,6200,96
林大北路9号院,海淀,学院路,2室1厅,南/北,31.5,7200,228
永金里小区,海淀,五棵松,3室2厅,南/北,65.0,10200,156
水木天成,海淀,清河,2室1厅,南,52.0,8860,170
中关村,海淀,中关村,2室1厅,南/北,69.5,8300,119
智慧大厦,海淀,小西天,2室2厅,东,38.5,8800,228
光熙门北里,朝阳,西坝河,2室1厅,西北,76.5,7530,98
梵谷水郡,朝阳,酒仙桥,2室1厅,西南,45.0,8000,177
晴悦家园,朝阳,朝青,1室1厅,南,44.0,5800,131
佳境天城,朝阳,望京,1房间,南,57.0,10500,184
晶都国际,朝阳,酒仙桥,1室1厅,北,60.5,5890,97
西坝河东里,朝阳,西坝河,1室1厅,南,69.0,4800,69
保利蔷薇,东城,广渠门,1室1厅,北,29.0,7500,258
青年湖北里,东城,安定门,2室1厅,南/北,62.0,8600,138
新裕家园,东城,崇文门,1室1厅,南,60.0,9200,153
安定门东大街,东城,东直门,2室0厅,南/北,23.5,6800,289
清澄名苑南区,大兴,黄村中,2室1厅,南/北,62.5,5800,92
绿色庄园,大兴,观音寺,1室1厅,南/北,32.0,3100,96
彩虹新城,大兴,枣园,2室1厅,南,60.0,5400,90
居善园,大兴,大兴其它,1室1厅,西,69.5,2200,31
保利首开熙悦春天,大兴,天宫院,4室1厅,南/北,91.5,5600,61
空港荣苑3号院,大兴,大兴机场空港,1室1厅,南,37.5,1500,40
金色漫香郡北区,大兴,南中轴机场商务区,2室1厅,南/北,75.0,3800,50
枣园东里,大兴,枣园,2室1厅,南/北,82.5,4600,55
滨河西里北区,大兴,枣园,3室1厅,南/北,97.0,4200,43
居善园,大兴,大兴其它,1室0厅,南,23.5,2000,85
中海云筑,大兴,大兴新机场,3室1厅,南/北,44.5,3400,76
亦庄金茂府,大兴,亦庄开发区其它,3室1厅,南/北,114.0,18500,162
保利茉莉公馆,大兴,高米店,2室1厅,南,42.5,6200,145
火神庙商业中心,大兴,黄村中,2房间,南,74.5,3200,42
首座御园一区二期,大兴,枣园,2室1厅,东,52.5,3800,72
三槐家园,大兴,瀛海,2室1厅,南,40.0,4200,105
中国铁建兴盛嘉苑,大兴,瀛海,3室1厅,南/北,45.0,5300,117
中建国际港,大兴,枣园,2室2厅,南/北,45.0,6500,144
新兴家园,大兴,南中轴机场商务区,2室1厅,南/北,45.0,2800,62
枣园尚城北区,大兴,枣园,2室1厅,南/北,40.5,4500,111
美然绿色家园,大兴,旧宫,2室2厅,南/北,67.5,5500,81
黄村中里,大兴,黄村中,1室1厅,南,47.0,3800,80
中信新城西区,大兴,亦庄开发区其它,3室2厅,南/北,113.0,14000,123
鸿坤理想城大满贯,大兴,西红门,1室1厅,南,75.5,4600,60
红木林南区,大兴,枣园,3室2厅,南/北,67.0,6500,97
富力盛悦居,大兴,旧宫,2房间,西,33.5,5500,164
五福玲珑居南区,海淀,四季青,2室1厅,南,36.0,7789,216
冠城大通百旺府,海淀,海淀北部新区,3室2厅,南/北,69.5,12500,179
西山壹号院北区,海淀,西北旺,5室3厅,南/北,252.5,50000,198
静淑苑,海淀,学院路,2室1厅,南,53.5,9990,186
月季园,海淀,马甸,1室1厅,西南,23.0,6400,278
温泉路45号院,海淀,海淀北部新区,2室1厅,南,30.5,5730,187
香山清琴麓苑,海淀,西山,5室2厅,,180.0,48000,266
龙翔路小区,海淀,牡丹园,2室1厅,东,29.0,8930,307
学院南路60号院,海淀,西直门,3室1厅,南/北,42.5,9600,225
志新北里,海淀,二里庄,2室1厅,东,36.0,8330,231
上地东里,海淀,上地,3室1厅,南/北,37.0,8600,232
岚山,海淀,海淀其它,2室1厅,南/北,44.5,6300,141
加气混凝土厂宿舍,海淀,清河,1室1厅,南,21.5,6230,289
定慧西里,海淀,定慧寺,2室1厅,西/北,29.5,6300,213
永景园,海淀,田村,2室1厅,南/北,54.5,6000,110
龙湖唐宁one,海淀,五道口,1房间,南,25.5,8600,337
中关村东路,海淀,双榆树,2室1厅,南,40.0,9190,229
学院南路72号院,海淀,白石桥,2室1厅,南,78.5,8600,109
水岸温泉,海淀,海淀北部新区,2室1厅,南,69.5,6860,98
牡丹园东里,海淀,牡丹园,1室1厅,南,20.0,7830,391
金茂府南区,朝阳,大望路,3房间,西,66.0,17600,266
首城国际中心,朝阳,双井,2室1厅,东,36.5,12000,328
卡夫卡公社,朝阳,定福庄,2房间,南,18.5,5800,313
延静里中街,朝阳,红庙,1室1厅,南,19.0,4900,257
安华里社区,朝阳,安贞,2室1厅,东,27.5,7530,273
10AM新坐标,朝阳,方庄,1室1厅,南,25.0,5300,212
安贞里,朝阳,安贞,2室1厅,南,55.0,8960,162
和平街十一区,朝阳,和平里,2室1厅,南,70.5,8800,124
惠新南里5号院,朝阳,惠新西街,1室1厅,南,57.0,6790,119
常楹公元自由派,朝阳,常营,1房间,东,18.5,4300,232
澳洲康都,朝阳,望京,1室1厅,北,53.5,7700,143
常楹公元自由派,朝阳,常营,1房间,北,46.0,4000,86
甘露晴苑,朝阳,甘露园,2室1厅,东北,73.0,7930,108
甘露园南里,朝阳,甘露园,2室1厅,东南,49.0,6000,122
双井北里,朝阳,双井,2室1厅,西/北,57.5,6400,111
远洋一方北润园,朝阳,双桥,3室2厅,,76.0,7500,98
阳光上东,朝阳,酒仙桥,2室2厅,东/西,65.5,22000,335
万象新天天际高尔夫,朝阳,常营,4室2厅,,159.5,16500,103
仟村商务大厦,朝阳,安贞,3室2厅,,96.5,11000,113
筑福家园,朝阳,常营,2室1厅,南/北,65.0,6500,100
南平里,朝阳,首都机场,2室1厅,南/北,72.0,4000,55
胜古南里,朝阳,惠新西街,1室1厅,南,18.0,7000,388
安华里社区,朝阳,安贞,2室1厅,东,71.0,8000,112
点击未来,朝阳,望京,1室0厅,西北,56.0,5500,98
金鼎欣盛家园,大兴,大兴其它,2室1厅,南/北,45.0,3500,77
金鼎欣盛家园,大兴,大兴其它,2室1厅,南/北,45.0,3000,66
东领鉴筑,朝阳,定福庄,2室1厅,南/北,52.5,7300,139
远洋自然,丰台,大红门,1室0厅,东,55.0,5300,96
万福家园,通州,北关,1室1厅,南,55.0,3000,54
东南小区,海淀,中关村,2室1厅,南,64.5,8200,127
鑫兆雅园北区,丰台,刘家窑,2室1厅,南/北,76.5,7900,103
星源国际,朝阳,望京,1室0厅,东,53.0,6000,113
世嘉光织谷西区,怀柔,怀柔,2室2厅,南/北,46.5,2600,55
东亚印象台湖,通州,通州其它,2室1厅,南/北,71.0,3600,50
芳群园三区,丰台,方庄,2室2厅,西,55.0,7600,138
首开璞瑅,丰台,方庄,3室1厅,南/北,97.5,17500,179
大成时代公馆,丰台,岳各庄,2房间,东/西,44.0,8000,181
宝隆温泉公寓,丰台,科技园区,1室1厅,南,30.0,4500,150
领秀翡翠山B区,丰台,丰台其它,3室2厅,南/北,93.0,6000,64
万科紫苑,丰台,青塔,3室1厅,南/北,76.0,7000,92
中堂,丰台,岳各庄,3室1厅,南/北,83.5,9300,111
南苑北里三区,丰台,和义,2室1厅,南/北,35.5,3900,109
草桥矿冶小区,丰台,草桥,1室1厅,南,23.0,4700,204
芳古园二区,丰台,方庄,4室1厅,东北,85.0,18000,211
春季星空,丰台,草桥,3室2厅,南/北,72.0,10000,138
国际花园,丰台,科技园区,9室4厅,南/北,627.5,150000,239
左右坊,丰台,马家堡,1室1厅,西,23.5,4990,212
北大街南里,丰台,北大地,2室1厅,南,54.0,6260,115
西罗园一区,丰台,西罗园,2室1厅,南,28.0,5860,209
同馨家园,丰台,青塔,3室1厅,东南,76.5,6500,84
世华水岸C区,丰台,赵公口,3室1厅,南/北,72.0,11200,155
万柳园小区,丰台,玉泉营,1室1厅,南,54.5,6060,111
洋桥北里,丰台,洋桥,3室1厅,南/北,40.0,11000,275
左右坊,丰台,马家堡,2室1厅,西,31.0,6530,210
芳城园一区,丰台,方庄,2室1厅,南,73.0,11000,150
万年花城三期,丰台,玉泉营,2室1厅,,49.0,7500,153
大井南里,丰台,岳各庄,2室1厅,南,35.0,5530,158
星河城西区,丰台,马家堡,2室1厅,东南,54.0,8300,153
东高地,丰台,万源,3室1厅,南,34.0,3800,111
设计师广场,丰台,科技园区,1室1厅,东南,26.0,4530,174
御景春天A区,丰台,科技园区,1室1厅,西,50.0,5030,100
盛鑫嘉园,丰台,丽泽,1室1厅,南,59.5,5860,98
富锦嘉园二区,丰台,科技园区,3室1厅,南/北,59.0,8300,140
芳城园三区,丰台,方庄,2室1厅,西南,73.0,6760,92
北露园,西城,阜成门,1室1厅,南,61.5,6200,100
灵境胡同,西城,西单,1室1厅,南,37.5,7300,194
中新佳园二区,西城,马连道,3室2厅,南/北,97.5,13000,133
真武庙六里,西城,木樨地,1室1厅,东北,69.0,7200,104
展览路,西城,阜成门,2室1厅,南/北,68.5,8000,116
新风街1号院,西城,马甸,2室1厅,西南,46.0,10000,217
三里河南七巷1号院,西城,月坛,1室1厅,东,31.0,11200,361
大石桥胡同29号院,西城,六铺炕,2室1厅,南,32.0,7500,234
畅柳园,西城,陶然亭,1室1厅,东,29.0,6300,217
朗琴园,西城,广安门,2室1厅,东/北,50.5,15200,300
塔院胡同12号院,西城,六铺炕,3室1厅,南/北,59.5,8500,142
百万庄未区,西城,阜成门,2室1厅,南/北,41.0,8500,207
木樨地南里1号院,西城,木樨地,2室1厅,西北,50.5,9800,194
德宝新园,西城,西直门,2室1厅,西,30.0,8300,276
马连道路13号院,西城,马连道,2室1厅,南,67.0,5000,74
车站西街1号院,西城,广安门,1室0厅,,24.5,4800,195
西便门内大街79号院,西城,长椿街,3室1厅,南/北,40.0,9500,237
新文化街,西城,金融街,2室1厅,南/北,58.5,9500,162
南礼士路三条北里,西城,月坛,1室1厅,南,46.0,5500,119
广益大厦,西城,长椿街,9房间,东南,105.5,26000,246
